Nama provinsi,Luas (km²)[8],Populasi (2010)[2],Populasi (2020)[9]
Aceh,56.50051,4.494.410,5.274.871
Sumatra Utara,72.42781,12.982.204,14.799.361
Sumatra Barat,42.22465,4.846.909,5.534.472
Riau,87.84423,5.538.367,6.394.087
Jambi,45.34849,3.092.265,3.548.228
Sumatra Selatan,60.30254,7.450.394,8.467.432
Bengkulu,19.79515,1.715.518,2.010.670
Lampung,37.73515,7.608.405,9.007.848
Kepulauan Bangka Belitung,16.42414,1.223.296,1.455.678
Kepulauan Riau,8.08401,1.679.163,2.064.564
Daerah Khusus Ibukota Jakarta,74029,9.607.787,10.562.088
Jawa Barat,36.92505,43.053.732,48.274.162
Jawa Tengah,32.79971,32.382.657,36.516.035
Daerah Istimewa Yogyakarta,3.13315,3.457.491,3.668.719
Jawa Timur,46.68964,37.476.757,40.665.696
Banten,9.01864,10.632.166,11.904.562
Bali,5.44937,3.890.757,4.317.404
Nusa Tenggara Barat,19.70879,4.500.212,5.320.092
Nusa Tenggara Timur,46.13787,4.683.827,5.325.566
Kalimantan Barat,120.11432,4.395.983,5.414.390
Kalimantan Tengah,153.56450,2.212.089,2.669.969
Kalimantan Selatan,37.53052,3.626.616,4.073.584
Kalimantan Timur,194.84908,3.553.143,3.766.039
Kalimantan Utara,72.56749,738.163,701.814
Sulawesi Utara,13.93073,2.270.596,2.621.923
Sulawesi Tengah,68.08983,2.635.009,2.985.734
Sulawesi Selatan,46.11645,8.034.776,9.073.509
Sulawesi Tenggara,36.75745,2.232.586,2.624.875
Gorontalo,12.16544,1.040.164,1.171.681
Sulawesi Barat,16.78719,1.158.651,1.419.229
Maluku,47.35042,1.533.506,1.848.923
Maluku Utara,39.95999,1.038.087,1.282.937
Papua Barat,114.56640,760.422,1.134.068
Papua,309.93440,2.833.381,4.303.707
Jumlah,—,237.641.326,270.203.917
